BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Within,PMN.BY,PHIPP,1,0,999.000,0.43,0.007,< 0.001
,,PREC,1.953,0.034,< 0.001,0.642,0.007,< 0.001
,,PCC,2.046,0.038,< 0.001,0.671,0.004,< 0.001
,,MPFC,2.087,0.035,< 0.001,0.506,0.006,< 0.001
,,PHC,0.867,0.018,< 0.001,0.345,0.008,< 0.001
,,RSC,1.09,0.017,< 0.001,0.46,0.006,< 0.001
,,AAG,3.357,0.069,< 0.001,0.699,0.005,< 0.001
,,PAG,1.901,0.033,< 0.001,0.43,0.006,< 0.001
,MEMQ.BY,SCECORR,1,0,999.000,0.682,0.058,< 0.001
,,COLCORR,0.574,0.147,< 0.001,0.472,0.046,< 0.001
,,EMOCORR,0.587,0.118,< 0.001,0.479,0.033,< 0.001
,MEMQ.WITH,PMN,0.011,0.002,< 0.001,0.17,0.021,< 0.001
,RSC.WITH,PHC,0.006,0,< 0.001,0.26,0.012,< 0.001
,PAG.WITH,PHC,0.011,0,< 0.001,0.258,0.006,< 0.001
,Variances,PMN,0.004,0,< 0.001,1,0,999.000
,,MEMQ,0.867,0.277,  0.002,1,0,999.000
,,PHIPP,0.019,0,< 0.001,0.815,0.006,< 0.001
,,PREC,0.024,0,< 0.001,0.587,0.009,< 0.001
,,PCC,0.022,0,< 0.001,0.55,0.006,< 0.001
,,MPFC,0.056,0.001,< 0.001,0.744,0.006,< 0.001
,,PHC,0.025,0,< 0.001,0.881,0.006,< 0.001
,,RSC,0.02,0,< 0.001,0.789,0.006,< 0.001
,,AAG,0.052,0.001,< 0.001,0.512,0.007,< 0.001
,,PAG,0.07,0.001,< 0.001,0.815,0.005,< 0.001
Between,MEMQB.BY,SCECORR,1,0,999.000,0.927,0.12,< 0.001
,,COLCORR,0.574,0.147,< 0.001,0.826,0.156,< 0.001
,,EMOCORR,0.587,0.118,< 0.001,0.903,0.161,< 0.001
,MEMQB.WITH,PHIPP,0.007,0.004,  0.090,0.459,0.193,  0.018
,,PREC,0.027,0.012,  0.027,0.567,0.13,< 0.001
,,PCC,0.016,0.011,  0.144,0.296,0.167,  0.075
,,MPFC,-0.004,0.006,  0.537,-0.112,0.188,  0.553
,,PHC,0.017,0.008,  0.032,0.381,0.163,  0.020
,,RSC,0.032,0.009,< 0.001,0.786,0.17,< 0.001
,,AAG,0.01,0.017,  0.546,0.103,0.163,  0.526
,,PAG,0.008,0.011,  0.454,0.106,0.132,  0.423
,PHIPP.WITH,PREC,0.001,0,  0.030,0.542,0.17,  0.001
,,PCC,0.001,0,  0.106,0.385,0.165,  0.020
,,MPFC,0,0,  0.840,0.032,0.154,  0.838
,,PHC,0,0,  0.983,0.005,0.229,  0.983
,,RSC,0.001,0,  0.224,0.392,0.293,  0.181
,,AAG,0.001,0.001,  0.111,0.394,0.195,  0.043
,,PAG,-0.001,0.001,  0.413,-0.247,0.295,  0.403
,PREC.WITH,PCC,0.002,0.001,  0.227,0.271,0.203,  0.182
,,MPFC,0.001,0.001,  0.463,0.142,0.186,  0.445
,,PHC,0.002,0.001,  0.081,0.412,0.194,  0.034
,,RSC,0.002,0.001,  0.012,0.505,0.13,< 0.001
,,AAG,-0.001,0.001,  0.467,-0.092,0.127,  0.468
,,PAG,-0.001,0.002,  0.688,-0.092,0.226,  0.685
,PCC.WITH,MPFC,0.001,0.001,  0.192,0.232,0.152,  0.128
,,PHC,0,0.001,  0.959,-0.009,0.17,  0.959
,,RSC,0.002,0.001,  0.028,0.433,0.149,  0.004
,,AAG,0.001,0.002,  0.445,0.107,0.132,  0.418
,,PAG,-0.002,0.002,  0.430,-0.194,0.241,  0.421
,MPFC.WITH,PHC,-0.001,0.001,  0.083,-0.318,0.163,  0.051
,,RSC,0,0.001,  0.964,0.01,0.23,  0.964
,,AAG,0.001,0.001,  0.317,0.145,0.135,  0.281
,,PAG,-0.001,0.001,  0.361,-0.206,0.215,  0.339
,PHC.WITH,RSC,0,0.001,  0.977,0.005,0.166,  0.977
,,AAG,-0.006,0.003,  0.024,-0.548,0.143,< 0.001
,,PAG,0.001,0.001,  0.218,0.135,0.096,  0.157
,,AAG,0.003,0.002,  0.145,0.272,0.164,  0.097
,,PAG,-0.001,0.001,  0.629,-0.081,0.167,  0.629
,AAG.WITH,PAG,0.003,0.002,  0.297,0.143,0.125,  0.253
,Means,PHIPP,0.077,0.005,< 0.001,3.358,0.781,< 0.001
,,PREC,0.113,0.016,< 0.001,1.501,0.263,< 0.001
,,PCC,0.143,0.023,< 0.001,1.735,0.277,< 0.001
,,MPFC,0.134,0.012,< 0.001,2.544,0.42,< 0.001
,,PHC,-0.029,0.019,  0.123,-0.409,0.243,  0.092
,,RSC,0.048,0.014,< 0.001,0.758,0.196,< 0.001
,,AAG,0.189,0.03,< 0.001,1.251,0.259,< 0.001
,,PAG,-0.008,0.029,  0.773,-0.07,0.238,  0.768
,Thresholds,SCECORR$1,-0.688,0.132,< 0.001,-0.503,0.107,< 0.001
,,COLCORR$1,-0.717,0.096,< 0.001,-0.633,0.077,< 0.001
,,EMOCORR$1,-0.841,0.097,< 0.001,-0.738,0.091,< 0.001
,,PHIPP,0.001,0,  0.030,1,0,999.000
,,PREC,0.006,0.002,  0.001,1,0,999.000
,,PCC,0.007,0.002,  0.002,1,0,999.000
,,MPFC,0.003,0.001,  0.001,1,0,999.000
,,PHC,0.005,0.001,< 0.001,1,0,999.000
,,RSC,0.004,0.001,< 0.001,1,0,999.000
,,AAG,0.023,0.008,  0.005,1,0,999.000
,,PAG,0.014,0.004,< 0.001,1,0,999.000
,,MEMQB,0.413,0.239,  0.083,1,0,999.000
,,SCECORR,0.068,0.126,  0.591,0.141,0.223,  0.528
,,COLCORR,0.064,0.068,  0.350,0.318,0.257,  0.215
,,EMOCORR,0.032,0.057,  0.573,0.185,0.291,  0.526
